event_message,event_type,function_id,id,level,timestamp
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,bd6c1696-e224-4190-9733-45595b276107,log,1756826384681000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,c9fe8781-e245-46cb-ad95-9f89fa5763a3,log,1756826316473000
Memory limit exceeded,Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,640ebf6c-37f7-4ac0-beb1-fbbf5749b81f,error,1756826316473000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,6d1a4a73-d02b-4f24-a8f8-e5076d3ad6a3,info,1756826315420000
booted (time: 32ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,ec4aa8ac-31e3-494a-9495-a774f5394834,log,1756826315419000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,4fbed329-5a6a-4d83-a5a7-6a3d2af499d4,info,1756826309664000
booted (time: 30ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,1506804f-de85-4280-8007-9db42cafda67,log,1756826309661000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,b59c5381-77d6-48ed-a13e-6ae16424e9a1,log,1756826062456000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,df314120-3dcb-4e9c-8406-6996556e74c0,log,1756825996959000
Memory limit exceeded,Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,65ede075-d449-49e4-8492-59d685c6bf5f,error,1756825996959000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,7ac646ac-201e-4b73-81e2-d53963f1f51a,info,1756825995909000
booted (time: 33ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,a5fd4375-54ac-42be-893a-4d6d55d60fb4,log,1756825995908000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,3becf716-c911-40b0-bf06-80376a0151a2,info,1756825987442000
booted (time: 35ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,fbf94ea1-b8e5-4206-9b11-b96c57bb41a7,log,1756825987439000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,3f6a3f99-8f83-4b1a-b346-5495a4430c18,log,1756825681288000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,b1eb9a91-d001-4838-a856-25323924a5f2,log,1756825612962000
Memory limit exceeded,Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,e8bc9db4-34cf-4bf6-9fa4-7cd0c12ced83,error,1756825612962000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,ef4bf1c3-2832-4826-9806-ea54d6b934e9,info,1756825611783000
booted (time: 30ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,2b492e5d-9c07-4f61-a342-be7aae625757,log,1756825611781000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,dc4f98b9-cff8-4475-9fc6-51b44fd32d4a,info,1756825606273000
booted (time: 23ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,fe4b3501-2d65-4df3-bc4e-2aab646508f4,log,1756825606272000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,112bb24e-82fc-4c95-bc63-8eab80c60883,log,1756825501615000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,1fd3b4f2-fd3e-4688-bc73-ecc7640ebb00,log,1756825432552000
Memory limit exceeded,Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,1b000781-59d4-4158-b73c-5225de083ea5,error,1756825432552000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,d25f51fc-7d44-4b3d-aac3-4cec73a48d6d,info,1756825431272000
booted (time: 33ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,9ce7dd81-8a49-4797-8a8a-0e31f6bfaaaa,log,1756825431270000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,ca781d46-b8e5-43a8-90d6-a90e9eef9043,info,1756825426599000
booted (time: 23ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,e7825616-d2db-4b98-a2cc-5c1371098948,log,1756825426598000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,f11924cc-f99b-4a48-b34a-2fc2764826cb,log,1756824932014000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,42c3d8e4-7f7f-4305-8a61-325e4a239056,log,1756824863347000
Memory limit exceeded,Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,2bb62e5e-0456-48b6-b9d4-eef79b5eae2c,error,1756824863347000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,ae7890d3-00ee-4cd2-86e6-6e2bdde2c258,info,1756824862520000
booted (time: 27ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,66e2bfc6-f3f5-4036-9c59-21797165c36d,log,1756824862519000
"Listening on http://localhost:9999/
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,dffbcda8-8c60-400e-83be-3577412a528d,info,1756824856999000
booted (time: 23ms),Boot,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,1cb1b47f-5d75-4143-aebf-f37e8a7e2240,log,1756824856998000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,bbe8963e-f05a-4f19-8b04-b905617991d2,log,1756824822195000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,dea4f4e2-24ea-4be3-8a5f-fe647e36be0a,log,1756824797289000
Memory limit exceeded,Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,95d379e0-4c92-463c-9549-1dd18dc730df,error,1756824754587000
shutdown,Shutdown,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,b4948973-8bf0-4ce6-bacf-25e4352d6cea,log,1756824754587000
"PDF extraction successful
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,86e83b1c-1fdf-48a4-8c23-92f9cecbef50,info,1756824753885000
"Final extracted text length: 14818727
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,99bc55a9-60a1-4377-9eb9-009ed8138196,info,1756824753885000
"Extracted text parts: 55261
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,7f42563c-bb10-4c7c-b1c2-11bcf61c13f0,info,1756824753489000
"Found text matches: 55402
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,40323713-214b-43ee-9dc7-c0fd12a5f718,info,1756824753428000
"PDF decoded, length: 28490131
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,42ac666b-a1a0-4c47-9318-da7aa0ed45bf,info,1756824753403000
"Buffer created, size: 28490131
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,a7583475-f62f-42a7-91c3-3475f5f9e011,info,1756824753208000
"PDF file size: 28490131
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,14133de9-24cb-4ff5-b60c-40fa0d270a0b,info,1756824753190000
"PDF extraction function started
",Log,97cba6d4-fbdb-4ec3-99f2-f964d0a65dd6,9a43970c-3dae-4b2d-909b-980cec45659b,info,1756824752875000
